id,title,status,type,priority,tags,created,updated,closed_reason,story_points
at-0i6,Add automatic sleep time increase based on days to download,closed,feature,1,ambient-download|network,2026-03-08,2026-03-08,"recommended_sleep_for_days() auto-scales when --sleep-time is at default: 6-15d=30s, 16-30d=60s, 31-90d=120s, 91+d=300s; logs the adjustment",
at-1d2,No HTTP request timeout configured,closed,bug,1,robustness|network,2026-03-08,2026-03-08,device.rs now uses reqwest::blocking::Client with 30s timeout instead of one-shot blocking::get(),
at-1qd,json2csv crate is a non-functional stub,closed,bug,1,maintainability|json2csv,2026-03-08,2026-03-08,Deleted the directory. Not needed.,
at-3tr,Add TOON export format to ambient_process,closed,feature,2,ambient-process|export|toon,2026-03-08,2026-03-08,Implemented in ambient_process v0.2.0 / workspace v0.5.0,
at-42k,Append data to CSV file (json2csv),closed,feature,2,json2csv,2026-03-08,2026-03-08,Subsumed by at-c7p — CSV append/export belongs in the data processing pipeline rather than as a standalone feature,
at-6vt,API keys exposed in debug logging,closed,bug,0,security|logging,2026-03-08,2026-03-08,Added custom Debug impls for Config and Query that redact api_key and app_key; also fixed to_file() which was logging raw TOML content with credentials,
at-758,Create a menu-bar application to show latest metrics,open,idea,4,ambient-menu,2026-03-08,2026-03-08,,
at-7pd,Custom station name,closed,task,2,,2026-03-08,2026-03-08,Implemented 2026-03-08,
at-7yu,Look into switching to blocking download requests,closed,task,1,ambient-download|network,2026-03-08,2026-03-08,reqwest::blocking::Client already used in download_weather() with timeout and keepalive,
at-8ad,Make the loading of config files more robust,closed,bug,1,ambient-download|config,2026-03-08,2026-03-08,from_file() wraps I/O and parse errors with filename and 'run newconfig' hint; validate() gives per-field errors before API calls,
at-8r6,Add a tool or parameter to transform dates and times between UTC and local,closed,feature,1,ambient-download|timezone,2026-03-08,2026-03-08,timezone subcommand now accepts optional DATETIME arg and prints both UTC->local and local->UTC conversions,
at-ae8,Add input validation for keys and MAC address,closed,feature,2,ambient-download|validation,2026-03-08,2026-03-08,Covered by Query::validate(): is_valid_api_key() checks 64-char hex for api_key and app_key; is_valid_mac() validates MAC format. Called before all API requests.,
at-ap3,Double unwrap panic risk in weather/download.rs,closed,bug,0,robustness|panic,2026-03-08,2026-03-08,"Replaced .unwrap() on LocalResult with exhaustive match: Single returns the value, Ambiguous takes the earlier occurrence, None falls back to arithmetic addition",
at-bsr,Add -n option to specify the number of days to download,closed,feature,1,ambient-download,2026-03-08,2026-03-08,"weather subcommand already has --days/-d flag (value_parser u16, range 1..=1095)",
at-c7p,Build data processing pipeline on top of datapoint types,closed,feature,4,shared|datapoint|json|reporting,2026-03-08,2026-03-08,,
at-ema,Config struct Serialize impl exposes credentials,closed,task,2,security|maintainability,2026-03-08,2026-03-08,Config no longer derives Serialize. Custom Serialize impl redacts api_key and app_key. File I/O uses private ConfigToml struct (full credentials) via From<&Config>. Safe serialization is now the default.,
at-g36,Figure out time offset automagically,closed,feature,2,ambient-download|timezone,2026-03-08,2026-03-08,"Config.tz_name defaults to iana_time_zone::get_timezone() in Config::default(), so local timezone is auto-detected when not explicitly supplied.",
at-hsw,No MAC address format validation,closed,bug,1,security|validation,2026-03-08,2026-03-08,is_valid_mac() validates XX:XX:XX:XX:XX:XX / XX-XX-XX-XX-XX-XX / XXXXXXXXXXXX; called via Query::validate() before API requests,
at-i09,API credentials embedded in URL query parameters,closed,bug,0,security|network,2026-03-08,2026-03-08,"Added logbuilder.filter() calls for reqwest, hyper, hyper_util at Warn level to prevent URL+credential exposure via internal HTTP crate logging at TRACE level",
at-ih0,Build a client for downloads,closed,bug,0,ambient-download|network,2026-03-08,2026-03-08,reqwest::blocking::Client already built with timeout and keepalive in download_weather() lines 156-160; reused across all loop iterations,
at-j3l,Playground crate should be removed from workspace,closed,task,3,maintainability|workspace,2026-03-08,2026-03-08,playground removed from workspace members in Cargo.toml during P0 fix session.,
at-mj9,Add JSON file name pattern support,closed,feature,2,ambient-download,2026-03-08,2026-03-08,"Implemented strftime filename pattern with {mac} token, subdir creation, CLI --filename-pattern flag, config field, and 5 unit tests",
at-pcc,Switch to using timezone instead of offset,closed,feature,1,ambient-download|timezone,2026-03-08,2026-03-08,Config.tz_name stores IANA name; get_offset_from_tz() computes offset dynamically via chrono-tz,
at-piu,Zero test coverage for ambient_download crate,closed,task,1,testing|quality,2026-03-08,2026-03-08,"16 unit tests added: 10 in creds::tests for validate(), 6 in weather::download::tests for utilities and sleep scaling",
